age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
40,M,512, ,0,FALSE,9202 GL 54
34,M,566,En Couple,4,TRUE,5458 DE 77
23,M,172,En Couple,0,FALSE,9273 SK 28
-1,M,215,En Couple,2,FALSE,8358 UK 20
-1,M,1337,Célibataire,0,FALSE,6608 ZC 72
37,M,406,Célibataire,0,FALSE,8108 CQ 47
18,F,1069,En Couple,2,FALSE,2344 RY 66
73,F,423,En Couple,2,FALSE,3063 TX 77
24,F,1253,En Couple,0,FALSE,2554 JS 63
80,F,432,Célibataire,0,FALSE,503 GR 44
28,M,576,En Couple,0,FALSE,5144 RL 34
31,F,546,Seule,1,FALSE,1394 QJ 59
54,M,1201,En Couple,3,TRUE,2032 NY 18
26,M,586,Célibataire,0,FALSE,1932 UV 70
59,M,577,En Couple,3,TRUE,7962 JK 41
71,M,174,En Couple,2,FALSE,3729 JU 59
77,M,1129,Célibataire,0,FALSE,263 RR 92
70,M,468,En Couple,1,TRUE,8040 RX 34
29,M,1071,En Couple,?,FALSE,6018 HB 83
71,M,1371,Seule,2,FALSE,15 HS 58
19,M,215,Seule,1,FALSE,6016 DM 35
25,M,469,En Couple,2,FALSE,4643 IZ 48
20,M,433,Célibataire,0,FALSE,7985 RC 11
37,F,581,En Couple,3, ,1879 GM 45
62,M,401,En Couple,3,FALSE,8686 MM 40
43,M,?,En Couple,2,FALSE,7129 JK 90
48,F,463,En Couple,3,FALSE,123 GW 48
74,M,562,En Couple,2,FALSE,7042 ZX 50
19,M,1335,En Couple,4,FALSE,1268 ED 12
22,M,197,Célibataire,0,FALSE,4884 FZ 33
19,M,202,En Couple,2,FALSE,8833 YU 94
25,M,588,Célibataire,0,FALSE,476 KO 38
35,M,1092,Célibataire,0,FALSE,2179 FU 71
19,M,1368,En Couple,0,FALSE,3679 MX 78
50,F,190,Célibataire,0,FALSE,5782 WB 79
50,F,564,En Couple,3,FALSE,8574 AZ 85
71,M,768,En Couple,3,FALSE,991 YM 58
54,F,594,En Couple,1,TRUE,2020 WO 89
29,F,190,Célibataire,0,FALSE,6718 BD 83
19,M,426,Célibataire,0,FALSE,7892 AR 47
27,M,158,En Couple,4,TRUE,3642 GI 32
74,M,974,En Couple,3,FALSE,6893 BW 25
29,M,462,Seule,1,FALSE,8857 ZS 87
55,M,708,En Couple,0,TRUE,327 CM 96
27,M,477,En Couple,3,FALSE,6599 VJ 87
31,M,234,Célibataire,0,FALSE,8629 MH 85
76,M,1195,En Couple,3,FALSE,9003 UX 95
51,M,217,En Couple,0,FALSE,691 RO 60
43,F,588,Célibataire,0,FALSE,327 LY 14
58,M,882,En Couple,3,FALSE,7671 FQ 48
18,M,574,Célibataire,0,FALSE,3542 YY 24
18,M,203,Célibataire,0,FALSE,6850 CR 37
59,M,773,En Couple,1,FALSE,9582 GS 69
21,F,1188,En Couple,2,FALSE,6558 LB 10
56,F,570,En Couple,2,FALSE,1598 YH 30
18,M,494,En Couple,2,FALSE,8318 WG 91
25,M,?,Célibataire,0,FALSE,3646 FS 67
57,F,433,En Couple,4,TRUE,1602 SS 92
84,M,512,Célibataire,0,FALSE,4451 TT 67
74,F,527,En Couple,2,FALSE,5314 FD 32
73,F,416,En Couple,2,FALSE,3961 JL 74
53,M,588,En Couple,1,TRUE,4128 MN 12
84,M,487,En Couple,0,FALSE,425 UL 43
24,F,488,En Couple,0,FALSE,569 BJ 14
29,M,436,En Couple,3,FALSE,3299 TO 36
39,M,956,En Couple,2,TRUE,2018 VZ 57
37,M,407,Célibataire,0,FALSE,8530 AN 50
31,F,178,En Couple,0,FALSE,1244 SN 14
34,M,565,Célibataire,0,FALSE,189 IO 25
30,M,915,En Couple,4,FALSE,6913 TV 57
25,M,494,Célibataire,0,FALSE,6353 ZF 53
59,M,535,Célibataire,0,FALSE,1559 LY 14
23,F,1086,Célibataire,0,FALSE,4585 KC 62
21,M,228,Célibataire,0,FALSE,4122 DY 41
50,F,207,En Couple,4,FALSE,5561 SK 20
26,F,530,En Couple,1,TRUE,9763 RG 58
54,F,454,En Couple,1,FALSE,6796 TX 79
44,F,712,En Couple,4,FALSE,3317 BC 68
57,?,569,Célibataire,0,FALSE,7722 VZ 23
44,M,562,En Couple,0,FALSE,6476 ZX 23
58,F,1134,Seule,2,FALSE,3558 UO 87
77,M,569,En Couple,4,FALSE,3646 AA 44
22,M,1166,Célibataire,0,FALSE,122 TJ 42
18,M,929,En Couple,1,FALSE,6075 NT 24
22,F,215,Célibataire,0,FALSE,2683 DM 43
51,M,412,Célibataire,0,FALSE,63 LG 96
35,M,550,Célibataire,0,FALSE,1737 AL 49
45,M,468,Célibataire,0,FALSE,236 ZR 66
24,M,244,Célibataire,0,FALSE,892 AC 36
51,M,1265,Célibataire,0,FALSE,3874 BE 52
37,M,1345,En Couple,1,FALSE,1450 NX 58
37,F,424,Célibataire,0,FALSE,5929 BX 53
27,M,467,En Couple,3,FALSE,7150 XD 29
64,M,983,Célibataire,0,FALSE,4259 FA 77
23,M,581,Célibataire,0,FALSE,4528 IV 50
55,F,470,En Couple,0,FALSE,9868 IK 32
51,M,1213,Célibataire,0,FALSE,2657 ER 15
49,M,192,En Couple,0,TRUE,8139 NH 95
33,M,705,Célibataire,0,FALSE,7341 CM 41
71,M,153,En Couple,1,FALSE,2609 LF 44
43,M,224,Célibataire,0,FALSE,7737 YW 58
55,M,557,En Couple,2,FALSE,8198 IE 68
18,M,535,En Couple,2,FALSE,3604 OD 37
70,F,825,Célibataire,0,FALSE,5152 TZ 15
25,M,244,Célibataire,0,FALSE,6151 VI 96
27,M,575,Célibataire,0,FALSE,5149 TA 80
19,M,594,Célibataire,0,FALSE,4183 RU 55
63,M,232,En Couple,4,FALSE,3093 UW 77
37,F,418,En Couple,2,FALSE,2287 WU 83
33,M,551,En Couple,1,FALSE,6139 XR 17
23,Féminin,476,Seule,2,FALSE,8968 SR 96
23,F,568,Célibataire,0,FALSE,6635 KQ 55
47,M,160,Célibataire,0,FALSE,8179 FZ 63
29,F,725,En Couple,0,TRUE,8027 FK 70
24,M,461,Célibataire,0,FALSE,5627 BU 17
77,F,1206,En Couple,4,FALSE,7915 RN 61
18,F,1252,Célibataire,0,FALSE,4230 GW 47
76,M,714,En Couple,1,FALSE,2887 PE 54
35,M,547,En Couple,0,TRUE,2978 KD 41
38,M,518,En Couple,1,FALSE,9201 AY 31
22,M,780,Célibataire,0,FALSE,9209 EJ 23
32,F,1183,Célibataire,0,FALSE,7129 YO 29
62,F,201,En Couple,1,TRUE,9967 GD 44
39,F,1237,En Couple,0,FALSE,183 AP 15
36,M,159,Célibataire,0,FALSE,8432 NW 77
63,M,503,En Couple,1,FALSE,2589 YE 43
27,M,1293,En Couple,0,FALSE,5349 FZ 29
35,F,791,En Couple,3,FALSE,3831 AV 69
28,Homme,1287,En Couple,1,FALSE,2669 LT 88
40,M,185,En Couple,0,TRUE,7388 ZR 47
24,F,530,En Couple,2,FALSE,8166 GT 34
22,F,469,En Couple,2,FALSE,3836 GH 33
61,M,935,Seule,1,FALSE,2163 RJ 79
38,M,1240,Célibataire,0,FALSE,1089 FR 14
57,F,496,En Couple,1,FALSE,1364 NL 79
44,M,566,En Couple,4,FALSE,448 IW 66
29,M,556,En Couple,3,FALSE,7555 IF 70
21,F,523,Seule,3,FALSE,375 AW 19
52,M,480,En Couple,1,FALSE,467 RB 93
18,F,1097,Célibataire,0,FALSE,126 UM 36
48,F,222,En Couple,4,FALSE,6497 YX 13
78,F,541,Seul,0,FALSE,6744 LR 14
21,M,583,Célibataire,0,FALSE,2405 LH 26
27,M,482,Célibataire,0,FALSE,6256 HS 72
82,M,414,En Couple,1,FALSE,5103 RO 55
28,M,578,Seule,3,FALSE,6430 UN 46
84,M,1030,En Couple,3,FALSE,2716 DO 42
33,M,231,Célibataire,0,FALSE,7794 KI 54
69,F,177,En Couple,1,FALSE,8367 GK 16
32,F,882,Célibataire,0,FALSE,7493 IX 16
42,M,178,En Couple,4,FALSE,1690 HG 77
25,M,155,En Couple,4,FALSE,3276 AW 87
50,M,177,En Couple,3,TRUE,4309 EM 93
42,M,487,En Couple,0,FALSE,8678 IV 87
51,M,431,En Couple,0,FALSE,8675 HO 19
21,M,774,En Couple,2,FALSE,7947 HI 56
71,F,714,Célibataire,0,FALSE,1298 JR 32
69,M,803,En Couple,2,FALSE,4508 XG 39
49,F,422,Célibataire,0,FALSE,6808 CW 23
44,F,908,En Couple,0,FALSE,5015 XF 92
21,F,548,En Couple,3,FALSE,2456 SF 20
35,M,1353,En Couple,4,TRUE,754 SQ 22
46,M,421,En Couple,1,FALSE,9229 FM 93
43,F,1050,En Couple,0,TRUE,4397 EK 32
50,M,403,Célibataire,0,FALSE,3004 MS 20
29,F,402,En Couple,2,FALSE,6818 TE 27
67,M,554,En Couple,0,FALSE,4628 JI 98
70,M,493,En Couple,0,TRUE,6934 TY 20
81,M,544,En Couple,0,FALSE,4366 XP 86
63,M,408,En Couple,2,FALSE,1015 XK 82
68,F,1092,En Couple,1,TRUE,286 FA 79
48,M,545,En Couple,3,FALSE,2349 LK 74
24,F,234,En Couple,2,FALSE,8162 YQ 18
29,M,591,En Couple,3,FALSE,1435 GN 61
77,F,704,En Couple,1,TRUE,5008 JO 84
19,M,503,Célibataire,0,FALSE,7804 VO 17
59,M,1037,En Couple,0,FALSE,3129 ZY 11
54,M,1385,En Couple,0,TRUE,6808 EK 43
18,M,421,Célibataire,0,FALSE,2154 QL 10
52,M,243,En Couple,0,FALSE,3486 ZL 95
57,F,737,En Couple,0,TRUE,2504 NB 68
32,F,913,Célibataire,0,FALSE,4457 TI 26
37,M,444,Célibataire,0,FALSE,2177 EN 17
43,M,543,Célibataire,0,FALSE,9454 RB 82
48,M,238,En Couple,0,FALSE,8623 ZI 18
25,M,423,En Couple,2,FALSE,7929 NS 48
18,M,202,En Couple,3,FALSE,2213 MT 90
25,M,772,Célibataire,0,FALSE,2933 ZB 39
26,F,436,Célibataire,0,FALSE,1265 EF 49
71,M,1098,Célibataire,0,FALSE,7811 TI 77
58,M,158,En Couple,2,FALSE,443 MF 61
20,M,1128,En Couple,4,FALSE,3759 WQ 40
40,M,524,En Couple,2,FALSE,4802 RR 92
50,M,1360,En Couple,2,FALSE,3791 LG 91
22,M,746,Célibataire,0,FALSE,3523 ZL 40
25,M,1261,Célibataire,0,FALSE,2741 QA 53
78,F,541,En Couple,4,FALSE,6131 OO 82
48,F,489,Célibataire,0,FALSE,5066 HC 91
65,M,932,En Couple,0,FALSE,2161 QM 52
54,F,780,En Couple,4,FALSE,3427 PX 95
54,M,504,En Couple,0,FALSE,5591 RJ 94
74,M,454,En Couple,2,FALSE,718 JP 81
46,M,508,En Couple,2,FALSE,376 UL 25
22,M,429,En Couple,0,FALSE,3603 IL 93
46,M,901,Célibataire,0,FALSE,1121 YQ 61
28,F,534,Célibataire,0,FALSE,4660 DW 94
55,M,1355,En Couple,4,FALSE,2617 SM 29
69,M,217,En Couple,3,TRUE,5567 RP 73
25,F,446,En Couple,2,FALSE,6034 QI 51
63,M,151,En Couple,1,FALSE,1064 MM 33
84,M,213,En Couple,2,FALSE,7080 JB 41
25,F,430,En Couple,0,FALSE,6610 WP 83
57,M,154,En Couple,2,FALSE,2510 GT 66
46,M,199,Célibataire,0,FALSE,7733 HL 35
51,M,527,En Couple,2,TRUE,1878 MR 96
50,F,500,Célibataire,0,FALSE,806 BH 92
57,M,438,En Couple,1,FALSE,1095 MW 84
36,M,556,En Couple,0,FALSE,6115 EA 16
48,M,408,Seule,1,FALSE,3686 SH 54
29,M,462,Célibataire,0,FALSE,7014 TX 47
58,M,407,Seule,3,FALSE,5680 CC 20
64,M,580,Célibataire,0,FALSE,9711 BD 90
19,M,953,En Couple,0,FALSE,9787 XH 86
51,M,201,Célibataire,0,FALSE,2492 ZR 49
68,M,592,En Couple,3,FALSE,538 LF 35
79,F,713,Célibataire,0,FALSE,2691 AC 32
38,M,239,En Couple,4,FALSE,8600 OT 58
28,M,529,En Couple,1,TRUE,6148 HO 22
57,F,562,Célibataire,0,FALSE,1657 EB 66
20,M,426,Seule,1,FALSE,5577 CP 61
21,M,1184,Célibataire,0,FALSE,9822 MY 76
51,F,516,En Couple,1,FALSE,1446 XO 90
69,F,483,En Couple,2,TRUE,9823 UF 42
27,M,580,En Couple,0,FALSE,9883 DP 28
72,M,502,Célibataire,0,FALSE,4480 VR 17
29,M,1061,En Couple,4,FALSE,4399 XR 16
27,M,1211,En Couple,3,FALSE,7758 RT 60
59,F,1194,En Couple,1,TRUE,5220 YP 91
84,M,502,En Couple,3,FALSE,7969 OC 14
29,M,483,Célibataire,0,FALSE,6200 II 81
26,M,568,Célibataire,0,FALSE,8714 TG 25
24,M,513,En Couple,3,FALSE,319 TI 17
67,M,1028,En Couple,0,FALSE,2787 PT 58
51,M,454,Célibataire,0,FALSE,6123 EL 24
59,M,157,En Couple,2,FALSE,627 PG 91
60,M,866,Célibataire,0,FALSE,8966 RY 50
21,M,484,En Couple,1,FALSE,4809 YJ 81
23,M,1174,En Couple,1,FALSE,676 JH 39
76,M,561,Célibataire,0,FALSE,5086 KN 25
45,M,770,En Couple,1,FALSE,8852 NF 84
68,M,443,Célibataire,0,FALSE,7157 AX 32
28,F,152,Célibataire,0,FALSE,7245 IA 54
64,M,553,Célibataire,0,FALSE,5260 WG 71
31,M,459,Célibataire,0,FALSE,5763 AT 36
20,M,244,Célibataire,0,FALSE,986 VF 11
57,M,403,En Couple,2,FALSE,65 NW 87
25,F,422,En Couple,3,FALSE,7393 QG 83
20,M,576,En Couple,0,FALSE,9549 RC 61
23,M,564,En Couple,2,TRUE,1771 XT 28
73,M,166,En Couple,4,FALSE,4921 ED 16
24,F,1341,En Couple,0,FALSE,2781 RE 91
84,F,154,Seule,1,FALSE,2478 IN 10
31,F,1384,Célibataire,0,FALSE,8584 CA 62
71,F,556,En Couple,0,FALSE,480 NC 25
27,M,428,Célibataire,0,FALSE,5845 JU 25
26,M,476,Célibataire,0,FALSE,2687 EU 45
41,M,214,Célibataire,0,FALSE,4903 TM 65
74,M,946,En Couple,0,TRUE,2593 LK 71
47,M,834,En Couple,3,FALSE,2314 WU 91
48,F,967,Célibataire,0,FALSE,3291 AS 18
25,M,1098,En Couple,0,FALSE,4007 ML 71
59,M,245,En Couple,2,FALSE,3175 TK 24
27,F,420,Célibataire,0,FALSE,1439 JL 78
21,M,448,Marié(e),1,TRUE,7341 JP 86
54,F,177,Célibataire,0,FALSE,2877 VS 91
28,M,1260,En Couple,3,FALSE,6172 PA 52
21,M,574,En Couple,3,FALSE,6199 VR 87
23,F,563,Célibataire, ,FALSE,7231 HO 61
58,M,220,Célibataire,0,FALSE,411 JZ 57
66,M,184,Célibataire,0,FALSE,9834 DL 37
27,M,418,En Couple,2,FALSE,2756 PW 74
29,F,176,En Couple,2,FALSE,5867 IH 16
83,M,441,En Couple,0,FALSE,7443 RI 67
33,M,550,En Couple,4,FALSE,187 BH 86
62,M,1065,Célibataire,0,?,1192 TU 56
20,M,528,En Couple,0,FALSE,8637 NL 73
44,M,501,Célibataire,0,FALSE,3528 ZK 12
46,M,577,Célibataire,0,FALSE,2411 YI 80
63,M,910,En Couple,3,FALSE,2486 PJ 85
29,M,486,En Couple,1,FALSE,2094 RL 26
32,M,822,En Couple,4,FALSE,3548 FI 25
51,M,535,En Couple,4,FALSE,9540 KY 32
18,M,234,Célibataire,0,FALSE,176 AN 23
54,M,1288,En Couple,2,TRUE,5897 GB 70
26,M,409,En Couple,4,FALSE,2450 KJ 86
29,M,218,Célibataire,0,FALSE,7713 BK 88
42,M,181,En Couple,1,FALSE,7962 DC 98
28,M,405,Célibataire,0,FALSE,7753 DB 41
25,M,476,En Couple,2,FALSE,5948 VH 17
67,F,208,Célibataire,0,FALSE,5003 DT 30
49,M,986,Célibataire,0,FALSE,9861 WA 13
34,M,701,Seule,2,FALSE,7448 VR 49
69,M,475,En Couple,0,FALSE,8268 CO 96
19,F,483,En Couple,0,TRUE,8269 ZC 81
76,F,1311,En Couple,1,TRUE,6948 HX 51
47,M,492,En Couple,4,FALSE,2753 WA 34
28,M,150,En Couple,4,FALSE,5398 YV 97
57,M,1286,En Couple,1,FALSE,4178 CX 62
71,F,1283,Célibataire,0,FALSE,1817 YZ 24
55,M,526,En Couple,1,FALSE,637 BI 54
23,M,1208,Seule,2,FALSE,3340 QL 28
26,M,458,Célibataire,0,FALSE,5253 VX 57
78,M,497,Célibataire,0,FALSE,2967 NS 57
37,M,554,Célibataire,0,FALSE,6265 UL 40
32,M,221,En Couple,0,FALSE,2608 HD 68
74,F,428,En Couple,4,FALSE,9872 EM 89
84,F,171,En Couple,1,FALSE,6673 YP 30
60,M,446,En Couple,4,FALSE,1629 JB 59
18,M,717,En Couple,0,FALSE,2740 SQ 19
41,M,526,Célibataire,0,FALSE,4173 XU 64
68,Masculin,1113,En Couple,4,FALSE,7529 UH 24
63,M,1342,En Couple,1,TRUE,2597 OT 61
27,F,507,Célibataire,0,FALSE,9196 VE 79
24,F,408,En Couple,0,FALSE,4038 AJ 96
38,M,572,En Couple,0,FALSE,8946 YB 77
54,F,597,En Couple,3,FALSE,8043 CV 66
45,F,404,Célibataire,0,FALSE,4585 QQ 16
40,F,542,En Couple,2,FALSE,6935 QM 50
58,Homme,500,En Couple,1,TRUE,2957 NE 11
55,M,157,En Couple,0,FALSE,714 DJ 67
25,M,544,En Couple,4,TRUE,6415 KQ 52
57,F,174,En Couple,1,FALSE,778 UF 68
29,Masculin,739,Célibataire,0,FALSE,558 EG 37
80,F,438,En Couple,4,FALSE,2636 YF 44
59,M,199,En Couple,4,FALSE,9024 RJ 78
59,F,727,En Couple,3,FALSE,4122 LP 52
42,M,572,En Couple,3,FALSE,230 CL 63
76,F,539,En Couple,0,FALSE,1115 JC 67
31,M,431,En Couple,4,FALSE,749 GR 10
25,F,880,Seule,3,FALSE,1392 GR 64
43,M,1115,Célibataire,0,FALSE,1226 HD 58
24,M,435,En Couple,1,FALSE,7954 IH 54
34,M,420,En Couple,2,FALSE,1371 VM 82
72,M,467,Célibataire,0,FALSE,9975 MS 49
49,M,1241,En Couple,1,TRUE,3786 XU 44
67,F,476,Célibataire,0,FALSE,8253 RP 86
25,M,986,En Couple,1,FALSE,5514 PV 10
56,F,444,En Couple,1,FALSE,2123 BC 10
32,M,156,Célibataire,0,FALSE,3066 YQ 70
18,M,247,En Couple,1,FALSE,7444 ZM 61
77,M,535,Célibataire,0,FALSE,4047 BZ 35
43,M,228,Célibataire,0,FALSE,2068 MP 43
68,M,1286,En Couple,1,FALSE,9563 WT 46
65,F,562,En Couple,3,TRUE,5843 MJ 56
65,M,467,En Couple,3,FALSE,5818 ZC 21
25,F,588,Célibataire,0,FALSE,5727 VR 33
82,M,849,Seule,1,FALSE,6657 WD 69
71,M,517,Célibataire,0,FALSE,2115 FS 93
34,F,422,En Couple,4,FALSE,768 PQ 49
20,M,487,En Couple,3,FALSE,1925 KG 40
48,F,528,Célibataire,0,FALSE,831 PY 14
25,M,546,Célibataire,0,FALSE,289 XF 15
29,F,1115,En Couple,1,FALSE,8449 XQ 88
20,F,400,En Couple,3,FALSE,9376 MT 22
22,M,176,En Couple,4,FALSE,5797 ZI 97
18,F,1280,Célibataire,0,FALSE,5430 MT 14
80,M,539,Seule,3,FALSE,5890 PL 56
76,M,945,En Couple,2,FALSE,4909 SY 34
32,M,751,Seule,2,FALSE,88 FE 34
28,M,179,Célibataire,0,FALSE,8892 UE 60
52,M,1271,Célibataire,0,FALSE,2419 JZ 60
82,M,159,En Couple,4,TRUE,2740 OR 62
49,M,527,En Couple,0,FALSE,6409 YU 49
80,M,469,En Couple,1,FALSE,1982 FM 95
18,F,583,En Couple,1,TRUE,3432 PB 58
56,F,994,Célibataire,0,FALSE,1888 FB 52
41,M,463,En Couple,3,FALSE,6859 FX 18
27,M,427,En Couple,2,FALSE,759 JR 25
25,M,152,En Couple,0,FALSE,1860 TN 55
22,M,1359,En Couple,0,FALSE,1580 PC 55
20,M,1324,En Couple,2,FALSE,3328 CR 88
22,M,449,En Couple,4,TRUE,7105 UV 37
78,M,214,Célibataire,0,FALSE,8296 PY 28
23,M,546,En Couple,0,FALSE,2866 YH 93
19,M,542,En Couple,0,FALSE,2508 QK 78
21,M,916,En Couple,1,FALSE,615 QA 44
28,M,1324,Seule,2,FALSE,3911 MY 44
51,M,574,En Couple,2,TRUE,5054 RK 60
27,F,1342,En Couple,2,TRUE,4896 HK 18
20,M,440,Célibataire,0,FALSE,2034 BW 37
